datetime,CLOSE,ATM,PCR_VOL,PCR_OI,PCR_COI,RSI,ZSCORE,SIGNAL,SUP,RES
2025-12-18 09:25:00+05:30,25780.05,25800,46.6,48.81,28.93,44.19,-1.52,,25800,26000
2025-12-18 09:30:00+05:30,25790.55,25800,46.41,47.18,27.68,46.69,-0.87,,25800,26000
2025-12-18 09:35:00+05:30,25771.65,25800,46.14,46.58,26.44,42.79,-1.74,,25800,26000
2025-12-18 09:40:00+05:30,25773.15,25750,60.92,59.6,28.12,43.05,-1.51,,25800,26000
2025-12-18 09:45:00+05:30,25745.2,25750,60.81,55.23,20.93,38.19,-2.11,,25800,26000
2025-12-18 09:50:00+05:30,25740.65,25750,58.36,41.71,9.21,37.45,-1.91,,25800,26000
2025-12-18 09:55:00+05:30,25755.35,25750,56.49,39.71,9.69,41.31,-1.29,,25800,26000
2025-12-18 10:00:00+05:30,25736.8,25750,56.55,38.82,9.3,37.62,-1.7,,25800,26000
2025-12-18 10:05:00+05:30,25750.95,25750,56.28,39.52,11.11,40.67,-1.17,,25800,26000
2025-12-18 10:10:00+05:30,25769.25,25750,52.85,42.25,12.71,45.53,-0.58,,25800,26000
2025-12-18 10:15:00+05:30,25788.6,25800,36.59,34.78,15.25,49.73,0.06,,25800,26000
2025-12-18 10:20:00+05:30,25826.95,25850,15.55,24.34,21.95,57.05,1.21,,25800,26000
2025-12-18 10:25:00+05:30,25831.0,25850,15.51,26.54,27.13,57.49,1.28,,25800,26000
2025-12-18 10:30:00+05:30,25828.45,25850,15.59,27.65,29.43,56.89,1.17,,25800,26000
2025-12-18 10:35:00+05:30,25848.9,25850,15.61,30.11,2874.87,59.81,1.52,,25800,26000
2025-12-18 10:40:00+05:30,25846.1,25850,15.71,31.94,32.99,59.0,1.36,,25800,26000
2025-12-18 10:45:00+05:30,25857.4,25850,15.9,33.41,44.45,60.8,1.51,,25800,26000
2025-12-18 10:50:00+05:30,25841.15,25850,16.03,34.69,47.61,57.31,1.1,,25800,26000
2025-12-18 10:55:00+05:30,25841.8,25850,16.21,34.48,41.4,57.43,1.0,,25800,26000
2025-12-18 11:00:00+05:30,25845.8,25850,16.26,34.43,36.13,58.03,0.99,,25800,26000
2025-12-18 11:05:00+05:30,25833.9,25850,16.48,34.22,53.52,54.92,0.68,,25800,26000
